minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
25,0.885,0.5,Harry Kane,RightFoot,Goal,Bayern Munich,Hamburger SV,,0.75777667760849
28,0.7719999694824219,0.6659999847412109,Luis Díaz,RightFoot,Goal,Bayern Munich,Hamburger SV,Joshua Kimmich,0.021683216094970703
30,0.919000015258789,0.605,Luis Díaz,LeftFoot,MissedShots,Bayern Munich,Hamburger SV,Konrad Laimer,0.40657147765159607
32,0.9059999847412109,0.7430000305175781,Serge Gnabry,RightFoot,BlockedShot,Bayern Munich,Hamburger SV,Konrad Laimer,0.03272626921534538
37,0.6519999694824219,0.435,Luis Díaz,RightFoot,SavedShot,Bayern Munich,Hamburger SV,Serge Gnabry,0.011147848330438137
38,0.7809999847412109,0.4209999847412109,Serge Gnabry,RightFoot,MissedShots,Bayern Munich,Hamburger SV,Luis Díaz,0.04358614608645439
40,0.8119999694824219,0.4909999847412109,Michael Olise,LeftFoot,SavedShot,Bayern Munich,Hamburger SV,Harry Kane,0.07174289971590042
45,0.905,0.27299999237060546,Joshua Kimmich,RightFoot,MissedShots,Bayern Munich,Hamburger SV,Konrad Laimer,0.06038498133420944
46,0.86,0.27700000762939453,Konrad Laimer,RightFoot,BlockedShot,Bayern Munich,Hamburger SV,Joshua Kimmich,0.05126333609223366
56,0.79,0.3290000152587891,Michael Olise,LeftFoot,SavedShot,Bayern Munich,Hamburger SV,Nicolas Jackson,0.026065977290272713
61,0.8680000305175781,0.44299999237060544,Harry Kane,RightFoot,Goal,Bayern Munich,Hamburger SV,Michael Olise,0.34382808208465576
65,0.749000015258789,0.33,Lennart Karl,LeftFoot,SavedShot,Bayern Munich,Hamburger SV,Joshua Kimmich,0.028384042903780937
70,0.9490000152587891,0.3039999961853027,Nicolas Jackson,RightFoot,SavedShot,Bayern Munich,Hamburger SV,Joshua Kimmich,0.08011694252490997
70,0.9519999694824218,0.495,Tom Bischof,Head,MissedShots,Bayern Munich,Hamburger SV,,0.1170239970088005
75,0.7330000305175781,0.5259999847412109,Tom Bischof,LeftFoot,MissedShots,Bayern Munich,Hamburger SV,,0.05679963156580925
84,0.8540000152587891,0.43200000762939456,Lennart Karl,LeftFoot,MissedShots,Bayern Munich,Hamburger SV,Konrad Laimer,0.11756458878517151
89,0.7930000305175782,0.6909999847412109,Michael Olise,RightFoot,BlockedShot,Bayern Munich,Hamburger SV,Joshua Kimmich,0.042540665715932846
15,0.769000015258789,0.624000015258789,Harry Kane,LeftFoot,SavedShot,Hoffenheim,Bayern Munich,,0.020495837554335594
31,0.8430000305175781,0.195,Lennart Karl,LeftFoot,SavedShot,Hoffenheim,Bayern Munich,Luis Díaz,0.01456537190824747
40,0.7380000305175781,0.6270000076293946,Nicolas Jackson,RightFoot,SavedShot,Hoffenheim,Bayern Munich,Konrad Laimer,0.017673851922154427
43,0.894000015258789,0.40900001525878904,Harry Kane,RightFoot,Goal,Hoffenheim,Bayern Munich,Lennart Karl,0.04941040650010109
45,0.8769999694824219,0.6709999847412109,Lennart Karl,LeftFoot,MissedShots,Hoffenheim,Bayern Munich,,0.06939181685447693
45,0.8130000305175781,0.435,Sacha Boey,LeftFoot,BlockedShot,Hoffenheim,Bayern Munich,Lennart Karl,0.07183824479579926
47,0.885,0.5,Harry Kane,RightFoot,Goal,Hoffenheim,Bayern Munich,,0.75777667760849
50,0.8619999694824219,0.7019999694824218,Luis Díaz,RightFoot,BlockedShot,Hoffenheim,Bayern Munich,Harry Kane,0.05402826890349388
54,0.9119999694824219,0.6359999847412109,Luis Díaz,RightFoot,MissedShots,Hoffenheim,Bayern Munich,Lennart Karl,0.1164604127407074
76,0.885,0.5,Harry Kane,RightFoot,Goal,Hoffenheim,Bayern Munich,,0.75777667760849
87,0.8140000152587891,0.500999984741211,Harry Kane,RightFoot,BlockedShot,Hoffenheim,Bayern Munich,Konrad Laimer,0.08595159649848938
91,0.805,0.4209999847412109,Michael Olise,LeftFoot,BlockedShot,Hoffenheim,Bayern Munich,,0.12616683542728424
94,0.9080000305175782,0.3,Konrad Laimer,RightFoot,SavedShot,Hoffenheim,Bayern Munich,Luis Díaz,0.07795281708240509
94,0.8,0.6370000076293946,Harry Kane,RightFoot,BlockedShot,Hoffenheim,Bayern Munich,Tom Bischof,0.044198181480169296
97,0.8880000305175781,0.664000015258789,Luis Díaz,RightFoot,SavedShot,Hoffenheim,Bayern Munich,,0.05231855437159538
97,0.8809999847412109,0.40900001525878904,Luis Díaz,RightFoot,ShotOnPost,Hoffenheim,Bayern Munich,Konrad Laimer,0.31731316447257996
98,0.7959999847412109,0.5070000076293946,Joshua Kimmich,RightFoot,SavedShot,Hoffenheim,Bayern Munich,Luis Díaz,0.03442394360899925
98,0.9640000152587891,0.3240000152587891,Serge Gnabry,RightFoot,Goal,Hoffenheim,Bayern Munich,,0.04811817407608032
2,0.8630000305175781,0.5670000076293945,Harry Kane,LeftFoot,MissedShots,Bayern Munich,Werder Bremen,Michael Olise,0.09415905922651291
4,0.9069999694824219,0.5359999847412109,Harry Kane,RightFoot,SavedShot,Bayern Munich,Werder Bremen,Michael Olise,0.12198439985513687
