minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
55,0.8569999694824219,0.504000015258789,Oliver Burke,RightFoot,Goal,Eintracht Frankfurt,Union Berlin,Andrej Ilic,0.48885923624038696
77,0.860999984741211,0.5179999923706055,Oliver Burke,RightFoot,SavedShot,Eintracht Frankfurt,Union Berlin,Janik Haberer,0.47491127252578735
89,0.685,0.47900001525878905,Leopold Querfeld,RightFoot,BlockedShot,Eintracht Frankfurt,Union Berlin,,0.013328748755156994
90,0.8719999694824219,0.3609999847412109,Janik Haberer,RightFoot,BlockedShot,Eintracht Frankfurt,Union Berlin,,0.08270621299743652
90,0.8869999694824219,0.41900001525878905,Aljoscha Kemlein,LeftFoot,BlockedShot,Eintracht Frankfurt,Union Berlin,,0.11021944880485535
93,0.845999984741211,0.40400001525878904,Woo-Yeong Jeong,RightFoot,MissedShots,Eintracht Frankfurt,Union Berlin,Aljoscha Kemlein,0.08563315123319626
9,0.885,0.5,Andrej Ilic,RightFoot,SavedShot,Union Berlin,Hamburger SV,,0.75777667760849
38,0.805,0.4829999923706055,Rani Khedira,LeftFoot,BlockedShot,Union Berlin,Hamburger SV,,0.047744594514369965
40,0.8969999694824219,0.37900001525878907,Ilyas Ansah,RightFoot,MissedShots,Union Berlin,Hamburger SV,Christopher Trimmel,0.04455561190843582
49,0.7869999694824219,0.4829999923706055,Rani Khedira,RightFoot,SavedShot,Union Berlin,Hamburger SV,Andrej Ilic,0.05300399288535118
71,0.865999984741211,0.5020000076293946,Danilho Doekhi,Head,BlockedShot,Union Berlin,Hamburger SV,Christopher Trimmel,0.010856159962713718
71,0.779000015258789,0.4620000076293945,Andras Schafer,RightFoot,MissedShots,Union Berlin,Hamburger SV,Leopold Querfeld,0.02673986740410328
76,0.94,0.45599998474121095,Andrej Ilic,LeftFoot,BlockedShot,Union Berlin,Hamburger SV,,0.11276412010192871
76,0.855,0.5420000076293945,Andras Schafer,RightFoot,MissedShots,Union Berlin,Hamburger SV,,0.06386285275220871
78,0.8959999847412109,0.40900001525878904,Ilyas Ansah,Head,MissedShots,Union Berlin,Hamburger SV,Christopher Trimmel,0.3039790093898773
85,0.9,0.625,Tom Rothe,RightFoot,MissedShots,Union Berlin,Hamburger SV,Ilyas Ansah,0.0822892114520073
95,0.9290000152587891,0.4379999923706055,Danilho Doekhi,Head,MissedShots,Union Berlin,Hamburger SV,Christopher Trimmel,0.03916839882731438
9,0.83,0.4540000152587891,Woo-Yeong Jeong,RightFoot,SavedShot,Bayer Leverkusen,Union Berlin,Andrej Ilic,0.09033113718032837
15,0.9269999694824219,0.4809999847412109,Danilho Doekhi,RightFoot,MissedShots,Bayer Leverkusen,Union Berlin,Leopold Querfeld,0.5311238169670105
22,0.9419999694824219,0.28,Oliver Burke,RightFoot,MissedShots,Bayer Leverkusen,Union Berlin,Leopold Querfeld,0.10476334393024445
43,0.7609999847412109,0.49700000762939456,Woo-Yeong Jeong,RightFoot,BlockedShot,Bayer Leverkusen,Union Berlin,,0.014797123149037361
49,0.914000015258789,0.495,Andrej Ilic,Head,MissedShots,Bayer Leverkusen,Union Berlin,Christopher Trimmel,0.2150755375623703
51,0.865999984741211,0.634000015258789,Derrick Köhn,LeftFoot,BlockedShot,Bayer Leverkusen,Union Berlin,Andrej Ilic,0.04802289977669716
66,0.870999984741211,0.7290000152587891,Derrick Köhn,LeftFoot,SavedShot,Bayer Leverkusen,Union Berlin,Leopold Querfeld,0.04260611906647682
81,0.855,0.745,Derrick Köhn,LeftFoot,MissedShots,Bayer Leverkusen,Union Berlin,Andrej Ilic,0.026810990646481514
90,0.889000015258789,0.54,Ilyas Ansah,RightFoot,MissedShots,Bayer Leverkusen,Union Berlin,Derrick Köhn,0.06861056387424469
91,0.8140000152587891,0.48700000762939455,Rani Khedira,RightFoot,SavedShot,Bayer Leverkusen,Union Berlin,Aljoscha Kemlein,0.05470123142004013
1,0.9490000152587891,0.6179999923706054,Derrick Köhn,LeftFoot,SavedShot,Union Berlin,Borussia M.Gladbach,Leopold Querfeld,0.28200000524520874
2,0.945,0.509000015258789,Danilho Doekhi,Head,Goal,Union Berlin,Borussia M.Gladbach,Christopher Trimmel,0.29371586441993713
4,0.88,0.62,Derrick Köhn,LeftFoot,BlockedShot,Union Berlin,Borussia M.Gladbach,Andrej Ilic,0.09815293550491333
9,0.83,0.6459999847412109,Derrick Köhn,LeftFoot,MissedShots,Union Berlin,Borussia M.Gladbach,Christopher Trimmel,0.032729655504226685
23,0.6619999694824219,0.509000015258789,Tim Skarke,RightFoot,MissedShots,Union Berlin,Borussia M.Gladbach,Rani Khedira,0.02018439769744873
25,0.955999984741211,0.6480000305175782,Ilyas Ansah,LeftFoot,ShotOnPost,Union Berlin,Borussia M.Gladbach,,0.08842960745096207
25,0.9680000305175781,0.5279999923706055,Danilho Doekhi,RightFoot,Goal,Union Berlin,Borussia M.Gladbach,,0.1903325319290161
55,0.8630000305175781,0.29700000762939455,Rani Khedira,RightFoot,BlockedShot,Union Berlin,Borussia M.Gladbach,Tim Skarke,0.05232451483607292
62,0.7830000305175782,0.6329999923706054,Aljoscha Kemlein,RightFoot,MissedShots,Union Berlin,Borussia M.Gladbach,,0.01703615114092827
63,0.8730000305175781,0.34200000762939453,Tim Skarke,RightFoot,SavedShot,Union Berlin,Borussia M.Gladbach,Rani Khedira,0.07878408581018448
76,0.8180000305175781,0.6519999694824219,Woo-Yeong Jeong,LeftFoot,BlockedShot,Union Berlin,Borussia M.Gladbach,Andrej Ilic,0.06399636715650558
77,0.905,0.6090000152587891,Danilho Doekhi,Head,MissedShots,Union Berlin,Borussia M.Gladbach,Woo-Yeong Jeong,0.025380438193678856
77,0.9059999847412109,0.4640000152587891,Andrej Ilic,RightFoot,BlockedShot,Union Berlin,Borussia M.Gladbach,Danilho Doekhi,0.09880778193473816
80,0.855,0.5320000076293945,Rani Khedira,RightFoot,Goal,Union Berlin,Borussia M.Gladbach,,0.06654553860425949
86,0.78,0.3920000076293945,Andrej Ilic,LeftFoot,MissedShots,Union Berlin,Borussia M.Gladbach,Janik Haberer,0.0378071591258049
90,0.8719999694824219,0.4259999847412109,Alex Kral,RightFoot,MissedShots,Union Berlin,Borussia M.Gladbach,Andrej Ilic,0.1009269580245018
