minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
44,0.735999984741211,0.5659999847412109,Fabio Chiarodia,LeftFoot,MissedShots,Borussia M.Gladbach,Werder Bremen,,0.015603141859173775
46,0.7919999694824219,0.6959999847412109,Rocco Reitz,RightFoot,MissedShots,Borussia M.Gladbach,Werder Bremen,Robin Hack,0.011450977064669132
53,0.77,0.3579999923706055,Giovanni Reyna,RightFoot,BlockedShot,Borussia M.Gladbach,Werder Bremen,,0.06813103705644608
68,0.9390000152587891,0.5209999847412109,Rocco Reitz,Head,BlockedShot,Borussia M.Gladbach,Werder Bremen,Haris Tabakovic,0.3600432276725769
75,0.7630000305175781,0.3579999923706055,Rocco Reitz,RightFoot,MissedShots,Borussia M.Gladbach,Werder Bremen,,0.013837255537509918
78,0.9359999847412109,0.5209999847412109,Haris Tabakovic,Head,MissedShots,Borussia M.Gladbach,Werder Bremen,Kevin Stöger,0.40163320302963257
82,0.8190000152587891,0.6079999923706054,Rocco Reitz,LeftFoot,BlockedShot,Borussia M.Gladbach,Werder Bremen,Kevin Stöger,0.055454082787036896
85,0.9309999847412109,0.5729999923706055,Kevin Diks,Head,SavedShot,Borussia M.Gladbach,Werder Bremen,Kevin Stöger,0.08269553631544113
90,0.8859999847412109,0.35400001525878905,Shuto Machino,Head,MissedShots,Borussia M.Gladbach,Werder Bremen,Kevin Diks,0.01135190762579441
12,0.8440000152587891,0.515,Yannick Engelhardt,RightFoot,BlockedShot,Bayer Leverkusen,Borussia M.Gladbach,Shuto Machino,0.08979533612728119
12,0.8619999694824219,0.615999984741211,Kevin Stöger,LeftFoot,SavedShot,Bayer Leverkusen,Borussia M.Gladbach,Shuto Machino,0.06883400678634644
15,0.8930000305175781,0.28200000762939453,Shuto Machino,RightFoot,SavedShot,Bayer Leverkusen,Borussia M.Gladbach,,0.04283180460333824
37,0.87,0.3659999847412109,Shuto Machino,Head,BlockedShot,Bayer Leverkusen,Borussia M.Gladbach,Rocco Reitz,0.009029384702444077
39,0.894000015258789,0.645,Joe Scally,LeftFoot,SavedShot,Bayer Leverkusen,Borussia M.Gladbach,Jens Castrop,0.25898513197898865
49,0.555,0.6029999923706054,Shuto Machino,RightFoot,MissedShots,Bayer Leverkusen,Borussia M.Gladbach,Kevin Stöger,0.007826638408005238
56,0.7569999694824219,0.4929999923706055,Kevin Stöger,LeftFoot,MissedShots,Bayer Leverkusen,Borussia M.Gladbach,Jens Castrop,0.02559548057615757
59,0.8619999694824219,0.4829999923706055,Shuto Machino,Head,SavedShot,Bayer Leverkusen,Borussia M.Gladbach,Kevin Stöger,0.03099755384027958
72,0.835,0.5170000076293946,Kevin Stöger,LeftFoot,SavedShot,Bayer Leverkusen,Borussia M.Gladbach,Lukas Ullrich,0.07013271003961563
76,0.9290000152587891,0.3129999923706055,Joe Scally,RightFoot,SavedShot,Bayer Leverkusen,Borussia M.Gladbach,Shuto Machino,0.2753813862800598
77,0.895,0.4209999847412109,Joe Scally,Head,BlockedShot,Bayer Leverkusen,Borussia M.Gladbach,Lukas Ullrich,0.024001765996217728
78,0.710999984741211,0.575999984741211,Florian Neuhaus,LeftFoot,BlockedShot,Bayer Leverkusen,Borussia M.Gladbach,Nico Elvedi,0.016704870387911797
91,0.9530000305175781,0.5070000076293946,Haris Tabakovic,Head,Goal,Bayer Leverkusen,Borussia M.Gladbach,Charles Herrmann,0.37863999605178833
18,0.909000015258789,0.725999984741211,Jens Castrop,LeftFoot,SavedShot,Borussia M.Gladbach,Eintracht Frankfurt,Rocco Reitz,0.04053865745663643
34,0.7959999847412109,0.325,Joe Scally,LeftFoot,SavedShot,Borussia M.Gladbach,Eintracht Frankfurt,Kevin Stöger,0.023162471130490303
62,0.905,0.43,Haris Tabakovic,RightFoot,BlockedShot,Borussia M.Gladbach,Eintracht Frankfurt,Florian Neuhaus,0.09815659373998642
63,0.9209999847412109,0.40099998474121096,Kevin Diks,Head,SavedShot,Borussia M.Gladbach,Eintracht Frankfurt,Luca Netz,0.0434197336435318
63,0.9080000305175782,0.544000015258789,Haris Tabakovic,Head,SavedShot,Borussia M.Gladbach,Eintracht Frankfurt,Luca Netz,0.0801829844713211
69,0.775,0.405,Florian Neuhaus,RightFoot,MissedShots,Borussia M.Gladbach,Eintracht Frankfurt,Philipp Sander,0.060616616159677505
71,0.9169999694824219,0.4879999923706055,Jens Castrop,Head,Goal,Borussia M.Gladbach,Eintracht Frankfurt,Joe Scally,0.32993802428245544
77,0.9519999694824218,0.47200000762939454,Haris Tabakovic,Head,Goal,Borussia M.Gladbach,Eintracht Frankfurt,Luca Netz,0.33167850971221924
82,0.875999984741211,0.4329999923706055,Haris Tabakovic,RightFoot,BlockedShot,Borussia M.Gladbach,Eintracht Frankfurt,Jens Castrop,0.06557565182447433
82,0.97,0.5120000076293946,Yannick Engelhardt,RightFoot,Goal,Borussia M.Gladbach,Eintracht Frankfurt,,0.6908177137374878
98,0.9269999694824219,0.49400001525878906,Grant-Leon Ranos,Head,Goal,Borussia M.Gladbach,Eintracht Frankfurt,Joe Scally,0.36526086926460266
27,0.8719999694824219,0.43,Rocco Reitz,LeftFoot,BlockedShot,Borussia M.Gladbach,Freiburg,Florian Neuhaus,0.10260538011789322
28,0.8959999847412109,0.5129999923706055,Yannick Engelhardt,Head,SavedShot,Borussia M.Gladbach,Freiburg,Kevin Diks,0.05624961853027344
30,0.745999984741211,0.580999984741211,Philipp Sander,RightFoot,SavedShot,Borussia M.Gladbach,Freiburg,,0.01640598103404045
37,0.774000015258789,0.5420000076293945,Joe Scally,RightFoot,MissedShots,Borussia M.Gladbach,Freiburg,,0.014150314033031464
42,0.825,0.8240000152587891,Rocco Reitz,RightFoot,SavedShot,Borussia M.Gladbach,Freiburg,,0.01166728138923645
47,0.749000015258789,0.6840000152587891,Florian Neuhaus,RightFoot,SavedShot,Borussia M.Gladbach,Freiburg,Jens Castrop,0.017734192311763763
48,0.8980000305175782,0.509000015258789,Haris Tabakovic,RightFoot,MissedShots,Borussia M.Gladbach,Freiburg,Luca Netz,0.12040097266435623
72,0.9080000305175782,0.485,Florian Neuhaus,RightFoot,MissedShots,Borussia M.Gladbach,Freiburg,Luca Netz,0.10477359592914581
74,0.76,0.46299999237060546,Florian Neuhaus,RightFoot,SavedShot,Borussia M.Gladbach,Freiburg,Jan Urbich,0.027196358889341354
0,0.49900001525878906,0.5,Florian Neuhaus,RightFoot,MissedShots,Union Berlin,Borussia M.Gladbach,,0.007449094671756029
3,0.88,0.3940000152587891,Jens Castrop,RightFoot,MissedShots,Union Berlin,Borussia M.Gladbach,Rocco Reitz,0.06557459384202957
16,0.7880000305175782,0.3940000152587891,Rocco Reitz,RightFoot,BlockedShot,Union Berlin,Borussia M.Gladbach,Jens Castrop,0.031166860833764076
17,0.9019999694824219,0.4229999923706055,Yannick Engelhardt,RightFoot,BlockedShot,Union Berlin,Borussia M.Gladbach,Rocco Reitz,0.0728653073310852
28,0.8809999847412109,0.46799999237060547,Philipp Sander,RightFoot,SavedShot,Union Berlin,Borussia M.Gladbach,Rocco Reitz,0.07110308110713959
32,0.8809999847412109,0.6459999847412109,Haris Tabakovic,RightFoot,Goal,Union Berlin,Borussia M.Gladbach,Yannick Engelhardt,0.27022188901901245
58,0.7340000152587891,0.47700000762939454,Philipp Sander,RightFoot,MissedShots,Union Berlin,Borussia M.Gladbach,,0.015680860728025436
67,0.9109999847412109,0.44400001525878907,Haris Tabakovic,RightFoot,MissedShots,Union Berlin,Borussia M.Gladbach,Rocco Reitz,0.0864446833729744
89,0.885,0.3729999923706055,Joe Scally,Head,MissedShots,Union Berlin,Borussia M.Gladbach,Kevin Stöger,0.00834121648222208
