minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
71,0.9640000152587891,0.5879999923706055,Stefan Schimmer,LeftFoot,BlockedShot,Hoffenheim,FC Heidenheim,Arijon Ibrahimovic,0.07949919998645782
74,0.8590000152587891,0.5429999923706055,Stefan Schimmer,RightFoot,Goal,Hoffenheim,FC Heidenheim,Jonas Föhrenbach,0.09181764721870422
86,0.775,0.3990000152587891,Mathias Honsak,LeftFoot,SavedShot,Hoffenheim,FC Heidenheim,Marvin Pieringer,0.02730884775519371
87,0.8159999847412109,0.49200000762939455,Julian Niehues,RightFoot,BlockedShot,Hoffenheim,FC Heidenheim,,0.043320201337337494
87,0.884000015258789,0.525,Stefan Schimmer,LeftFoot,ShotOnPost,Hoffenheim,FC Heidenheim,Jonas Föhrenbach,0.0639878436923027
10,0.9580000305175781,0.6869999694824219,Mathias Honsak,LeftFoot,MissedShots,FC Heidenheim,Eintracht Frankfurt,Arijon Ibrahimovic,0.021599043160676956
14,0.8819999694824219,0.545,Mathias Honsak,Head,MissedShots,FC Heidenheim,Eintracht Frankfurt,Stefan Schimmer,0.028063051402568817
31,0.9309999847412109,0.4209999847412109,Budu Zivzivadze,RightFoot,Goal,FC Heidenheim,Eintracht Frankfurt,Arijon Ibrahimovic,0.6039845943450928
34,0.7659999847412109,0.5359999847412109,Stefan Schimmer,LeftFoot,MissedShots,FC Heidenheim,Eintracht Frankfurt,Budu Zivzivadze,0.0415792278945446
37,0.7959999847412109,0.34599998474121096,Budu Zivzivadze,LeftFoot,SavedShot,FC Heidenheim,Eintracht Frankfurt,Arijon Ibrahimovic,0.038191817700862885
51,0.765,0.34599998474121096,Arijon Ibrahimovic,RightFoot,SavedShot,FC Heidenheim,Eintracht Frankfurt,,0.016458792611956596
65,0.7169999694824218,0.445,Julian Niehues,LeftFoot,SavedShot,FC Heidenheim,Eintracht Frankfurt,Patrick Mainka,0.016807500272989273
66,0.7440000152587891,0.5770000076293945,Stefan Schimmer,RightFoot,BlockedShot,FC Heidenheim,Eintracht Frankfurt,,0.011286869645118713
71,0.8959999847412109,0.3060000038146973,Marvin Pieringer,RightFoot,MissedShots,FC Heidenheim,Eintracht Frankfurt,Omar Traoré,0.053911127150058746
68,0.8590000152587891,0.500999984741211,Arijon Ibrahimovic,RightFoot,BlockedShot,Bayer Leverkusen,FC Heidenheim,,0.06337696313858032
29,0.8490000152587891,0.500999984741211,Arijon Ibrahimovic,LeftFoot,BlockedShot,FC Heidenheim,Borussia M.Gladbach,Adrian Beck,0.0976870208978653
47,0.884000015258789,0.43599998474121093,Patrick Mainka,Head,SavedShot,FC Heidenheim,Borussia M.Gladbach,Arijon Ibrahimovic,0.04988805204629898
48,0.865,0.4929999923706055,Patrick Mainka,Head,MissedShots,FC Heidenheim,Borussia M.Gladbach,Niklas Dorsch,0.023452041670680046
53,0.9209999847412109,0.465,Jan Schöppner,Head,BlockedShot,FC Heidenheim,Borussia M.Gladbach,Arijon Ibrahimovic,0.053205423057079315
55,0.7519999694824219,0.42700000762939455,Marvin Pieringer,RightFoot,MissedShots,FC Heidenheim,Borussia M.Gladbach,Jan Schöppner,0.017259910702705383
56,0.9590000152587891,0.33099998474121095,Adrian Beck,RightFoot,SavedShot,FC Heidenheim,Borussia M.Gladbach,Arijon Ibrahimovic,0.10466434806585312
71,0.794000015258789,0.45099998474121095,Marvin Pieringer,RightFoot,MissedShots,FC Heidenheim,Borussia M.Gladbach,Stefan Schimmer,0.017050497233867645
8,0.855,0.534000015258789,Mathias Honsak,LeftFoot,ShotOnPost,Union Berlin,FC Heidenheim,Jonas Föhrenbach,0.08275673538446426
11,0.7559999847412109,0.675,Adrian Beck,RightFoot,BlockedShot,Union Berlin,FC Heidenheim,Jonas Föhrenbach,0.020295947790145874
11,0.924000015258789,0.46799999237060547,Patrick Mainka,RightFoot,BlockedShot,Union Berlin,FC Heidenheim,Julian Niehues,0.11435092985630035
56,0.7869999694824219,0.64,Mathias Honsak,LeftFoot,BlockedShot,Union Berlin,FC Heidenheim,,0.012183303013443947
63,0.8880000305175781,0.3270000076293945,Stefan Schimmer,RightFoot,MissedShots,Union Berlin,FC Heidenheim,Arijon Ibrahimovic,0.061841607093811035
72,0.9119999694824219,0.5170000076293946,Julian Niehues,Head,MissedShots,Union Berlin,FC Heidenheim,Arijon Ibrahimovic,0.05447307601571083
75,0.8440000152587891,0.5020000076293946,Patrick Mainka,Head,MissedShots,Union Berlin,FC Heidenheim,Arijon Ibrahimovic,0.00795159675180912
81,0.8019999694824219,0.3110000038146973,Julian Niehues,LeftFoot,MissedShots,Union Berlin,FC Heidenheim,Omar Traoré,0.02652328833937645
89,0.914000015258789,0.43,Stefan Schimmer,RightFoot,Goal,Union Berlin,FC Heidenheim,Omar Traoré,0.11288781464099884
94,0.9080000305175782,0.47,Jan Schöppner,Head,Goal,Union Berlin,FC Heidenheim,Arijon Ibrahimovic,0.02883788011968136
0,0.8919999694824219,0.4329999923706055,Mathias Honsak,RightFoot,BlockedShot,FC Heidenheim,Freiburg,Marvin Pieringer,0.08652297407388687
8,0.7080000305175781,0.524000015258789,Thomas Keller,RightFoot,MissedShots,FC Heidenheim,Freiburg,,0.043624524027109146
14,0.750999984741211,0.75,Mathias Honsak,LeftFoot,MissedShots,FC Heidenheim,Freiburg,Marvin Pieringer,0.010145803913474083
