minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
17,0.7869999694824219,0.5229999923706055,Lovro Majer,RightFoot,BlockedShot,Borussia Dortmund,Wolfsburg,Mohammed Amoura,0.06191551685333252
17,0.8180000305175781,0.675,Mohammed Amoura,RightFoot,MissedShots,Borussia Dortmund,Wolfsburg,,0.048447221517562866
57,0.919000015258789,0.395,Mohammed Amoura,Head,MissedShots,Borussia Dortmund,Wolfsburg,Maximilian Arnold,0.1151975765824318
57,0.9640000152587891,0.5220000076293946,Konstantinos Koulierakis,LeftFoot,ShotOnPost,Borussia Dortmund,Wolfsburg,Mohammed Amoura,0.7252607345581055
89,0.775,0.6619999694824219,Konstantinos Koulierakis,LeftFoot,MissedShots,Borussia Dortmund,Wolfsburg,Christian Eriksen,0.016965188086032867
93,0.899000015258789,0.5259999847412109,Kamil Grabara,Head,MissedShots,Borussia Dortmund,Wolfsburg,Maximilian Arnold,0.03640927001833916
0,0.8469999694824218,0.7530000305175781,Mohammed Amoura,RightFoot,SavedShot,Wolfsburg,RasenBallsport Leipzig,Patrick Wimmer,0.02609982155263424
3,0.924000015258789,0.535,Moritz Jenz,RightFoot,BlockedShot,Wolfsburg,RasenBallsport Leipzig,Konstantinos Koulierakis,0.09367018193006516
3,0.9440000152587891,0.6780000305175782,Mohammed Amoura,LeftFoot,BlockedShot,Wolfsburg,RasenBallsport Leipzig,,0.04782319441437721
15,0.865999984741211,0.38799999237060545,Kilian Fischer,LeftFoot,MissedShots,Wolfsburg,RasenBallsport Leipzig,Mattias Svanberg,0.06356827914714813
29,0.774000015258789,0.600999984741211,Patrick Wimmer,RightFoot,MissedShots,Wolfsburg,RasenBallsport Leipzig,Vinicius Souza,0.028416432440280914
32,0.9530000305175781,0.48,Jonas Wind,Head,MissedShots,Wolfsburg,RasenBallsport Leipzig,,0.09907332807779312
41,0.950999984741211,0.53,Konstantinos Koulierakis,Head,MissedShots,Wolfsburg,RasenBallsport Leipzig,Patrick Wimmer,0.08173014968633652
46,0.825,0.675,Mohammed Amoura,RightFoot,MissedShots,Wolfsburg,RasenBallsport Leipzig,,0.0323980487883091
50,0.785,0.27299999237060546,Adam Daghim,LeftFoot,MissedShots,Wolfsburg,RasenBallsport Leipzig,Mattias Svanberg,0.020014144480228424
52,0.914000015258789,0.500999984741211,Konstantinos Koulierakis,Head,SavedShot,Wolfsburg,RasenBallsport Leipzig,Maximilian Arnold,0.3125053942203522
54,0.8640000152587891,0.4470000076293945,Jonas Wind,RightFoot,SavedShot,Wolfsburg,RasenBallsport Leipzig,Kilian Fischer,0.2788695693016052
55,0.9769999694824218,0.5720000076293945,Mohammed Amoura,Head,MissedShots,Wolfsburg,RasenBallsport Leipzig,Maximilian Arnold,0.3448229432106018
62,0.8159999847412109,0.5109999847412109,Mattias Svanberg,RightFoot,BlockedShot,Wolfsburg,RasenBallsport Leipzig,,0.04948138818144798
62,0.9540000152587891,0.6379999923706055,Jonas Wind,LeftFoot,SavedShot,Wolfsburg,RasenBallsport Leipzig,Joakim Maehle,0.2384050488471985
64,0.894000015258789,0.37599998474121094,Adam Daghim,LeftFoot,BlockedShot,Wolfsburg,RasenBallsport Leipzig,Kilian Fischer,0.0790979340672493
73,0.685,0.35200000762939454,Christian Eriksen,RightFoot,BlockedShot,Wolfsburg,RasenBallsport Leipzig,Vinicius Souza,0.013363206759095192
73,0.9130000305175782,0.5159999847412109,Dzenan Pejcinovic,OtherBodyPart,BlockedShot,Wolfsburg,RasenBallsport Leipzig,Maximilian Arnold,0.05600392445921898
74,0.9009999847412109,0.49900001525878906,Dzenan Pejcinovic,LeftFoot,BlockedShot,Wolfsburg,RasenBallsport Leipzig,,0.0882362350821495
74,0.8869999694824219,0.55,Konstantinos Koulierakis,LeftFoot,BlockedShot,Wolfsburg,RasenBallsport Leipzig,,0.08399996906518936
74,0.9409999847412109,0.58,Mohammed Amoura,RightFoot,BlockedShot,Wolfsburg,RasenBallsport Leipzig,,0.12868185341358185
76,0.9169999694824219,0.5640000152587891,Christian Eriksen,RightFoot,MissedShots,Wolfsburg,RasenBallsport Leipzig,Mohammed Amoura,0.42690861225128174
82,0.9069999694824219,0.345,Adam Daghim,Head,MissedShots,Wolfsburg,RasenBallsport Leipzig,Joakim Maehle,0.014177806675434113
9,0.8569999694824219,0.4909999847412109,Dzenan Pejcinovic,Head,MissedShots,Augsburg,Wolfsburg,Konstantinos Koulierakis,0.012210206128656864
31,0.784000015258789,0.49400001525878906,Mattias Svanberg,RightFoot,ShotOnPost,Augsburg,Wolfsburg,Mohammed Amoura,0.03899538889527321
33,0.909000015258789,0.5179999923706055,Adam Daghim,Head,MissedShots,Augsburg,Wolfsburg,Maximilian Arnold,0.08392242342233658
34,0.7140000152587891,0.2989999961853027,Mohammed Amoura,RightFoot,MissedShots,Augsburg,Wolfsburg,Vinicius Souza,0.015600926242768764
52,0.845,0.5590000152587891,Mohammed Amoura,RightFoot,MissedShots,Augsburg,Wolfsburg,Moritz Jenz,0.05523495376110077
56,0.895,0.48200000762939454,Mohammed Amoura,RightFoot,SavedShot,Augsburg,Wolfsburg,Andreas Skov Olsen,0.11983998864889145
59,0.9309999847412109,0.685,Adam Daghim,LeftFoot,BlockedShot,Augsburg,Wolfsburg,,0.054527685046195984
59,0.905,0.509000015258789,Moritz Jenz,Head,BlockedShot,Augsburg,Wolfsburg,Maximilian Arnold,0.07787156850099564
60,0.919000015258789,0.5170000076293946,Mattias Svanberg,Head,SavedShot,Augsburg,Wolfsburg,Joakim Maehle,0.31886306405067444
64,0.879000015258789,0.4370000076293945,Adam Daghim,LeftFoot,Goal,Augsburg,Wolfsburg,Mohammed Amoura,0.31780099868774414
80,0.7630000305175781,0.6320000076293946,Joakim Maehle,RightFoot,MissedShots,Augsburg,Wolfsburg,Mohammed Amoura,0.010604963637888432
89,0.9,0.42900001525878906,Mohammed Amoura,RightFoot,BlockedShot,Augsburg,Wolfsburg,Lovro Majer,0.08660769462585449
92,0.93,0.3559999847412109,Andreas Skov Olsen,Head,MissedShots,Augsburg,Wolfsburg,Christian Eriksen,0.01620516926050186
94,0.7519999694824219,0.6170000076293946,Christian Eriksen,RightFoot,SavedShot,Augsburg,Wolfsburg,Joakim Maehle,0.017550911754369736
12,0.8059999847412109,0.2670000076293945,Christian Eriksen,LeftFoot,SavedShot,Wolfsburg,VfB Stuttgart,Jonas Wind,0.023394785821437836
27,0.865999984741211,0.27700000762939453,Mattias Svanberg,LeftFoot,SavedShot,Wolfsburg,VfB Stuttgart,Jonas Wind,0.03173462301492691
52,0.955,0.6170000076293946,Mattias Svanberg,Head,BlockedShot,Wolfsburg,VfB Stuttgart,Aaron Zehnter,0.033904001116752625
60,0.885,0.7019999694824218,Joakim Maehle,RightFoot,BlockedShot,Wolfsburg,VfB Stuttgart,Mattias Svanberg,0.044025495648384094
72,0.6890000152587891,0.4640000152587891,Andreas Skov Olsen,LeftFoot,MissedShots,Wolfsburg,VfB Stuttgart,Sael Kumbedi,0.0086728660389781
74,0.8430000305175781,0.605,Christian Eriksen,RightFoot,BlockedShot,Wolfsburg,VfB Stuttgart,Andreas Skov Olsen,0.07108251750469208
75,0.8880000305175781,0.4470000076293945,Konstantinos Koulierakis,Head,BlockedShot,Wolfsburg,VfB Stuttgart,Christian Eriksen,0.015357737429440022
76,0.9819999694824219,0.620999984741211,Jonas Wind,LeftFoot,ShotOnPost,Wolfsburg,VfB Stuttgart,,0.06170455366373062
83,0.7090000152587891,0.624000015258789,Aaron Zehnter,RightFoot,MissedShots,Wolfsburg,VfB Stuttgart,,0.008115431293845177
91,0.7280000305175781,0.5729999923706055,Lovro Majer,LeftFoot,BlockedShot,Wolfsburg,VfB Stuttgart,,0.051389891654253006
94,0.8859999847412109,0.605,Konstantinos Koulierakis,Head,SavedShot,Wolfsburg,VfB Stuttgart,Mohammed Amoura,0.04350356385111809
