minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
57,0.8519999694824218,0.6279999923706054,Conrad Harder,LeftFoot,BlockedShot,Borussia M.Gladbach,RasenBallsport Leipzig,Bote Baku,0.06261313706636429
62,0.865,0.775,Conrad Harder,LeftFoot,SavedShot,Borussia M.Gladbach,RasenBallsport Leipzig,Antonio Nusa,0.04588375613093376
66,0.74,0.4929999923706055,Bote Baku,RightFoot,BlockedShot,Borussia M.Gladbach,RasenBallsport Leipzig,Johan Bakayoko,0.024661971256136894
69,0.9080000305175782,0.54,Willi Orban,Head,MissedShots,Borussia M.Gladbach,RasenBallsport Leipzig,David Raum,0.02613871358335018
70,0.8109999847412109,0.7659999847412109,Conrad Harder,LeftFoot,SavedShot,Borussia M.Gladbach,RasenBallsport Leipzig,Castello Lukeba,0.022826062515378
79,0.919000015258789,0.68,David Raum,LeftFoot,ShotOnPost,Borussia M.Gladbach,RasenBallsport Leipzig,Yan Diomande,0.23323017358779907
80,0.789000015258789,0.285,Johan Bakayoko,LeftFoot,SavedShot,Borussia M.Gladbach,RasenBallsport Leipzig,Willi Orban,0.02260931208729744
87,0.7180000305175781,0.6040000152587891,Castello Lukeba,LeftFoot,MissedShots,Borussia M.Gladbach,RasenBallsport Leipzig,Nicolas Seiwald,0.016600988805294037
90,0.914000015258789,0.56,Willi Orban,Head,BlockedShot,Borussia M.Gladbach,RasenBallsport Leipzig,David Raum,0.041873566806316376
93,0.8959999847412109,0.515,Christoph Baumgartner,Head,MissedShots,Borussia M.Gladbach,RasenBallsport Leipzig,David Raum,0.03329671546816826
94,0.850999984741211,0.514000015258789,Ezechiel Banzuzi,LeftFoot,SavedShot,Borussia M.Gladbach,RasenBallsport Leipzig,Yan Diomande,0.09770995378494263
95,0.7659999847412109,0.47900001525878905,Lukas Klostermann,LeftFoot,BlockedShot,Borussia M.Gladbach,RasenBallsport Leipzig,,0.04343457147479057
4,0.865999984741211,0.40299999237060546,Conrad Harder,Head,Goal,RasenBallsport Leipzig,Eintracht Frankfurt,Christoph Baumgartner,0.3641117513179779
7,0.9119999694824219,0.40900001525878904,Conrad Harder,Head,SavedShot,RasenBallsport Leipzig,Eintracht Frankfurt,David Raum,0.23961347341537476
14,0.9230000305175782,0.49900001525878906,Conrad Harder,RightFoot,BlockedShot,RasenBallsport Leipzig,Eintracht Frankfurt,David Raum,0.12278534471988678
30,0.98,0.5029999923706054,Christoph Baumgartner,RightFoot,Goal,RasenBallsport Leipzig,Eintracht Frankfurt,Conrad Harder,0.9729589223861694
44,0.7819999694824219,0.37599998474121094,Antonio Nusa,RightFoot,MissedShots,RasenBallsport Leipzig,Eintracht Frankfurt,Yan Diomande,0.029501622542738914
46,0.87,0.595,Yan Diomande,RightFoot,Goal,RasenBallsport Leipzig,Eintracht Frankfurt,,0.08706722408533096
49,0.9019999694824219,0.6890000152587891,Conrad Harder,LeftFoot,MissedShots,RasenBallsport Leipzig,Eintracht Frankfurt,Xaver Schlager,0.11235110461711884
51,0.799000015258789,0.6819999694824219,Antonio Nusa,RightFoot,ShotOnPost,RasenBallsport Leipzig,Eintracht Frankfurt,Castello Lukeba,0.06669241935014725
54,0.8180000305175781,0.46599998474121096,Yan Diomande,LeftFoot,Goal,RasenBallsport Leipzig,Eintracht Frankfurt,Christoph Baumgartner,0.08416341990232468
60,0.9059999847412109,0.4640000152587891,Christoph Baumgartner,RightFoot,BlockedShot,RasenBallsport Leipzig,Eintracht Frankfurt,David Raum,0.09216795116662979
60,0.845999984741211,0.47700000762939454,Xaver Schlager,RightFoot,BlockedShot,RasenBallsport Leipzig,Eintracht Frankfurt,Conrad Harder,0.06905410438776016
61,0.885,0.5,David Raum,LeftFoot,Goal,RasenBallsport Leipzig,Eintracht Frankfurt,,0.75777667760849
64,0.9259999847412109,0.625,Yan Diomande,LeftFoot,Goal,RasenBallsport Leipzig,Eintracht Frankfurt,Nicolas Seiwald,0.5373426675796509
77,0.730999984741211,0.535,Antonio Nusa,RightFoot,MissedShots,RasenBallsport Leipzig,Eintracht Frankfurt,Max Finkgrafe,0.029637476429343224
83,0.7980000305175782,0.8109999847412109,Antonio Nusa,RightFoot,MissedShots,RasenBallsport Leipzig,Eintracht Frankfurt,,0.041602715849876404
93,0.865,0.43900001525878907,Samba Konate,Head,MissedShots,RasenBallsport Leipzig,Eintracht Frankfurt,Andrija Maksimovic,0.0413617305457592
9,0.84,0.664000015258789,Yan Diomande,RightFoot,MissedShots,Union Berlin,RasenBallsport Leipzig,,0.031044915318489075
16,0.8590000152587891,0.6459999847412109,Yan Diomande,LeftFoot,SavedShot,Union Berlin,RasenBallsport Leipzig,,0.06528516113758087
16,0.9159999847412109,0.46099998474121096,Christoph Baumgartner,Head,SavedShot,Union Berlin,RasenBallsport Leipzig,David Raum,0.08860740810632706
38,0.799000015258789,0.6780000305175782,David Raum,LeftFoot,MissedShots,Union Berlin,RasenBallsport Leipzig,,0.07879134267568588
45,0.8240000152587891,0.41900001525878905,Christoph Baumgartner,RightFoot,MissedShots,Union Berlin,RasenBallsport Leipzig,Conrad Harder,0.10465669631958008
56,0.8059999847412109,0.6809999847412109,Conrad Harder,RightFoot,BlockedShot,Union Berlin,RasenBallsport Leipzig,Christoph Baumgartner,0.028230680152773857
59,0.874000015258789,0.32,Tidiam Gomis,RightFoot,Goal,Union Berlin,RasenBallsport Leipzig,Conrad Harder,0.050289336591959
79,0.7830000305175782,0.6809999847412109,Conrad Harder,LeftFoot,MissedShots,Union Berlin,RasenBallsport Leipzig,Yan Diomande,0.02280086651444435
83,0.7819999694824219,0.4259999847412109,Andrija Maksimovic,LeftFoot,BlockedShot,Union Berlin,RasenBallsport Leipzig,Castello Lukeba,0.025970367714762688
6,0.7780000305175782,0.35400001525878905,Conrad Harder,LeftFoot,SavedShot,RasenBallsport Leipzig,Bayer Leverkusen,David Raum,0.04162014648318291
9,0.904000015258789,0.47,Christoph Baumgartner,RightFoot,MissedShots,RasenBallsport Leipzig,Bayer Leverkusen,,0.12539124488830566
